date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2017-05-12 14:45,Hall of Heroes,Win,10:31,2351,0,2,Summoning Piece Neostone Fighter (Dark) x25,,,,,,,,,,,,,Verad,Basalt,Ritesh,Mav,Chasun
2017-05-12 14:47,Hall of Heroes,Lost,1:28,336,0,0,,,,,,,,,,,,,,Baretta,Verdehile,Belladeon,Verad,Basalt
2017-05-12 14:50,Hall of Heroes,Lost,1:55,520,0,0,,,,,,,,,,,,,,Baretta,Chasun,Belladeon,Verad,Basalt
2017-05-12 14:59,Hall of Heroes,Lost,4:05,509,0,0,,,,,,,,,,,,,,Baretta,Chasun,Ritesh,Verad,Basalt
2017-05-12 15:06,Hall of Heroes,Lost,5:24,571,0,1,,,,,,,,,,,,,,Baretta,Chasun,Ritesh,Verad,Briand
2017-05-12 15:10,"Dragon's Lair B10",Win,2:04,3959,1,0,Rune,5*,7650,Focus,39.90,4,Rare,HP 8%,CRI Dmg 4%,HP +175,ATK +10,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:14,"Dragon's Lair B10",Win,2:22,4640,0,1,Rune,5*,5100,Focus,38.17,3,Rare,DEF +15,,HP 5%,Accuracy 4%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:17,"Dragon's Lair B10",Win,2:19,4663,0,0,Rune Piece x8,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:20,"Dragon's Lair B10",Win,2:21,4645,0,1,Rainbowmon 2,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:24,"Dragon's Lair B10",Win,2:36,4508,0,0,Rune,5*,10880,Shield,44.56,5,Rare,HP +270,CRI Rate 4%,HP 4%,CRI Dmg 3%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:27,"Dragon's Lair B10",Win,2:22,3996,0,0,Rune,5*,13770,Violent,43.38,4,Rare,DEF 8%,DEF +8,SPD +5,HP +297,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:32,"Dragon's Lair B10",Win,2:41,4109,0,1,Rune Piece x12,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:35,"Dragon's Lair B10",Win,2:10,4208,0,1,Rune,6*,11887,Focus,54.76,3,Rare,DEF +22,Resistance 8%,CRI Dmg 7%,SPD +4,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:38,"Dragon's Lair B10",Win,2:32,4708,0,2,Rune,5*,10115,Revenge,35.60,6,Rare,Accuracy 9%,,HP 5%,Resistance 3%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:42,"Dragon's Lair B10",Win,2:36,4136,0,1,Rune,5*,6460,Guard,38.17,1,Rare,ATK +15,,Resistance 4%,HP 5%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:46,"Dragon's Lair B10",Win,2:35,4144,0,0,Symbol of Transcendance x11,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:49,"Dragon's Lair B10",Win,2:29,4031,0,0,Rune,5*,13600,Guard,50.48,2,Legendary,ATK 8%,DEF +12,HP 5%,ATK +11,CRI Dmg 5%,HP +199,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:52,"Dragon's Lair B10",Win,2:35,4216,0,1,Rune Piece x12,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:56,"Dragon's Lair B10",Win,2:28,4035,0,0,Rune,5*,11305,Revenge,39.96,1,Rare,ATK +15,,HP 6%,Resistance 5%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 15:59,"Dragon's Lair B10",Win,2:41,4421,0,5,Rune,5*,6375,Focus,42.45,3,Rare,DEF +15,CRI Dmg 4%,HP +120,CRI Rate 5%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 16:02,"Dragon's Lair B10",Win,2:25,4743,0,1,Rune,5*,8500,Focus,41.89,2,Hero,DEF 8%,,ATK 4%,DEF +13,CRI Rate 4%,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 16:07,"Dragon's Lair B10",Win,2:14,4263,0,0,Rune,5*,6800,Endure,45.58,5,Hero,HP +270,,CRI Rate 4%,SPD +3,CRI Dmg 4%,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 16:10,"Dragon's Lair B10",Win,2:20,4473,0,1,Rune,5*,11305,Revenge,40.25,1,Rare,ATK +15,,CRI Rate 4%,Accuracy 6%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 16:16,"Dragon's Lair B10",Win,2:24,4460,0,1,Symbol of Transcendance x10,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 16:19,"Dragon's Lair B10",Win,2:29,4185,0,1,Rune Piece x12,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 16:34,"Dragon's Lair B10",Win,2:30,4015,0,0,Rune,5*,7225,Endure,41.92,6,Hero,DEF +15,,Accuracy 6%,ATK +8,HP 4%,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 16:37,"Dragon's Lair B10",Win,2:19,4144,0,0,Symbol of Transcendance x8,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 21:08,Hall of Heroes,Lost,1:24,90,0,1,,,,,,,,,,,,,,Baretta,Spectra,Gildong,Verad,Belladeon
2017-05-12 21:14,Hall of Heroes,Lost,4:56,987,0,0,,,,,,,,,,,,,,Baretta,Chasun,Briand,Verad,Belladeon
2017-05-12 21:20,"Dragon's Lair B10",Win,2:43,4523,0,1,Rainbowmon 2,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 21:23,"Dragon's Lair B10",Win,2:35,4001,0,1,Symbol of Harmony x5,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 21:28,"Dragon's Lair B10",Win,2:59,4575,0,3,Rune,5*,7225,Endure,38.51,6,Hero,Accuracy 9%,,DEF 5%,ATK +8,HP +143,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 21:31,"Dragon's Lair B10",Win,2:17,4141,0,3,Rune,5*,6800,Focus,46.47,5,Rare,HP +270,SPD +4,ATK 5%,CRI Dmg 4%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 21:34,"Dragon's Lair B10",Win,2:34,4202,0,3,Rune,5*,5780,Endure,40.85,6,Rare,DEF +15,,CRI Rate 5%,SPD +4,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 21:38,"Dragon's Lair B10",Win,2:13,4752,0,2,Rune,5*,8075,Endure,43.82,1,Hero,ATK +15,,SPD +4,HP 6%,Resistance 4%,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 21:41,"Dragon's Lair B10",Win,2:25,4498,0,0,Rune,5*,8075,Endure,42.53,1,Rare,ATK +15,Accuracy 7%,SPD +3,HP +135,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 21:59,"Dragon's Lair B10",Win,2:36,4537,0,1,Rune,5*,7225,Guard,39.68,6,Hero,Accuracy 9%,,HP 4%,CRI Dmg 4%,CRI Rate 3%,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:02,"Dragon's Lair B10",Lost,2:32,751,0,0,,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:05,"Dragon's Lair B10",Win,2:18,4119,1,0,Rune,5*,6120,Focus,38.47,4,Rare,DEF +15,,SPD +4,DEF 4%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:08,"Dragon's Lair B10",Win,2:11,4128,0,1,Rune,6*,22824,Revenge,52.50,4,Rare,ATK 11%,ATK +17,DEF 7%,Resistance 5%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:15,"Dragon's Lair B10",Lost,2:40,541,0,0,,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:18,"Dragon's Lair B10",Win,2:28,4386,0,0,Rune,5*,7650,Endure,46.56,4,Rare,HP +270,DEF +15,Resistance 5%,ATK 4%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:22,"Dragon's Lair B10",Lost,2:19,755,1,0,,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:24,"Dragon's Lair B10",Win,2:19,4463,0,2,Rune,6*,14265,Endure,54.46,4,Rare,CRI Dmg 11%,Resistance 6%,DEF 7%,CRI Rate 6%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:27,"Dragon's Lair B10",Win,2:17,4470,0,0,Rune,5*,13770,Revenge,44.18,4,Hero,ATK 8%,CRI Rate 5%,CRI Dmg 3%,SPD +3,Resistance 3%,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:32,"Dragon's Lair B10",Win,3:19,4443,0,1,Rune,5*,6800,Focus,48.68,5,Rare,HP +270,CRI Dmg 5%,Accuracy 5%,CRI Rate 5%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:36,"Dragon's Lair B10",Win,2:18,4409,0,1,Rune,5*,8500,Focus,42.09,2,Rare,SPD +5,Accuracy 3%,DEF +8,HP +178,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:40,"Dragon's Lair B10",Win,2:14,4008,0,0,Rune,5*,6800,Guard,43.70,2,Rare,SPD +5,,DEF +12,HP 7%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-12 22:44,"Dragon's Lair B10",Win,2:38,4228,0,0,Symbol of Transcendance x8,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 11:54,"Dragon's Lair B10",Win,2:54,4200,0,1,Rune,5*,13600,Shield,47.69,2,Rare,DEF +15,Accuracy 7%,ATK +15,SPD +5,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 11:57,"Dragon's Lair B10",Win,2:11,4401,0,1,Rune,5*,9180,Focus,50.37,4,Hero,ATK +15,ATK 7%,HP 5%,SPD +5,CRI Rate 3%,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:01,"Dragon's Lair B10",Win,2:47,4373,0,0,Rune,5*,10200,Revenge,46.21,3,Rare,DEF +15,Resistance 7%,Accuracy 5%,DEF 6%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:04,"Dragon's Lair B10",Win,2:43,3822,1,0,Rune,5*,6120,Endure,38.44,4,Rare,DEF 8%,,SPD +3,CRI Rate 5%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:07,"Dragon's Lair B10",Win,2:41,4497,0,0,Rune,5*,9180,Endure,45.91,4,Hero,CRI Rate 5%,Resistance 5%,HP 6%,Accuracy 4%,SPD +3,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:11,"Dragon's Lair B10",Win,2:56,4356,0,3,Rune,5*,17765,Revenge,51.93,1,Legendary,ATK +15,CRI Dmg 4%,Resistance 6%,Accuracy 5%,HP +227,CRI Rate 3%,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:14,"Dragon's Lair B10",Win,2:28,4169,0,1,Unknown Scroll x9,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:17,"Dragon's Lair B10",Win,2:18,3815,0,1,Rune,5*,13600,Revenge,45.00,2,Rare,HP 8%,HP +282,Resistance 6%,ATK +15,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:20,"Dragon's Lair B10",Win,2:31,4256,0,2,Rainbowmon 3,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:22,"Dragon's Lair B10",Win,2:18,4425,0,0,Rune,5*,6800,Guard,47.07,5,Rare,HP +270,HP 7%,Accuracy 4%,CRI Dmg 4%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:25,"Dragon's Lair B10",Win,2:22,4523,0,0,Rune,5*,11475,Violent,42.78,3,Rare,DEF +15,CRI Rate 4%,HP +253,CRI Dmg 3%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:28,"Dragon's Lair B10",Win,2:33,4810,0,1,Rune,5*,10115,Shield,35.54,6,Rare,ATK 8%,,CRI Dmg 3%,Resistance 4%,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:31,"Dragon's Lair B10",Win,2:16,4113,0,1,Symbol of Transcendance x9,,,,,,,,,,,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 12:34,"Dragon's Lair B10",Win,2:31,4426,1,0,Rune,6*,22190,Revenge,45.66,2,Rare,ATK +22,,HP +147,SPD +6,,,Veromos,Belladeon,Verdehile,Taor,Megan
2017-05-15 13:01,"Giant's Keep B10",Win,1:07,3665,0,0,Rune,5*,5780,Swift,35.09,6,Rare,Accuracy 9%,,CRI Dmg 3%,CRI Rate 3%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 13:05,"Giant's Keep B10",Win,1:05,3451,1,1,Symbol of Harmony x10,,,,,,,,,,,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 13:07,"Giant's Keep B10",Win,1:07,3580,0,0,Rune,6*,14265,Blade,47.68,2,Rare,DEF +22,ATK +11,Accuracy 4%,HP 5%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 13:13,"Giant's Keep B10",Win,1:14,3894,0,1,Rune,5*,6120,Fatal,47.75,5,Rare,HP +270,SPD +4,HP 4%,Accuracy 7%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 13:15,"Giant's Keep B10",Win,1:08,3294,0,2,Rainbowmon 3,,,,,,,,,,,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 13:20,"Giant's Keep B10",Win,1:15,3865,0,1,Rune,5*,6460,Energy,43.82,1,Rare,ATK +15,CRI Rate 3%,HP 6%,SPD +4,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 13:23,"Giant's Keep B10",Win,0:58,3531,0,4,Rune,6*,10144,Swift,48.21,5,Rare,HP +360,,SPD +6,Accuracy 6%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 14:49,"Giant's Keep B10",Win,1:15,4670,0,1,Rune,5*,6120,Blade,51.02,5,Hero,HP +270,,Accuracy 7%,Resistance 7%,ATK 6%,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 14:50,"Giant's Keep B10",Win,1:05,4411,0,0,Rune,6*,10540,Fatal,49.11,1,Rare,ATK +22,,Accuracy 7%,CRI Dmg 7%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 14:52,"Giant's Keep B10",Win,1:05,4172,0,1,Rune,6*,10540,Fatal,45.54,1,Rare,ATK +22,,Resistance 4%,ATK 7%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 14:54,"Giant's Keep B10",Win,1:05,3471,0,2,Rune,5*,6502,Blade,47.53,6,Rare,HP +270,Resistance 6%,CRI Dmg 3%,CRI Rate 5%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 14:56,"Giant's Keep B10",Win,1:27,3917,0,1,Symbol of Chaos x4,,,,,,,,,,,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 14:57,"Giant's Keep B10",Win,1:13,3788,1,1,Rune,5*,4760,Blade,43.76,5,Rare,HP +270,,ATK +13,SPD +5,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 14:59,"Giant's Keep B10",Win,0:57,3934,0,2,Rune,5*,6120,Fatal,46.14,5,Hero,HP +270,,CRI Rate 4%,DEF +13,HP 4%,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:00,"Giant's Keep B10",Win,0:50,3836,1,1,Rune,5*,4590,Energy,36.17,4,Rare,HP 8%,,DEF 6%,HP +100,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:02,"Giant's Keep B10",Win,1:14,3678,0,1,Symbol of Chaos x4,,,,,,,,,,,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:04,"Giant's Keep B10",Win,1:14,4044,0,0,Rune,5*,7650,Fatal,43.84,2,Rare,DEF 8%,CRI Rate 3%,CRI Dmg 5%,Resistance 7%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:05,"Giant's Keep B10",Win,0:56,3888,0,1,Rune,5*,6502,Blade,42.63,6,Rare,DEF +15,Resistance 6%,HP 4%,SPD +3,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:07,"Giant's Keep B10",Win,0:46,4141,0,2,Symbol of Chaos x4,,,,,,,,,,,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:08,"Giant's Keep B10",Win,1:12,3991,0,1,Rune,5*,11050,Fatal,43.37,2,Legendary,DEF +15,,DEF 4%,Accuracy 3%,CRI Dmg 3%,ATK +11,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:10,"Giant's Keep B10",Win,1:30,3797,1,1,Rune,5*,13600,Swift,52.01,2,Legendary,ATK +15,Resistance 6%,Accuracy 3%,ATK 6%,HP +117,HP 7%,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:12,"Giant's Keep B10",Win,1:07,4100,0,1,Rune,5*,10880,Despair,41.91,5,Rare,HP +270,,DEF +12,Accuracy 5%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:14,"Giant's Keep B10",Win,1:08,4081,0,6,Rune,5*,5057,Blade,38.92,6,Rare,Resistance 9%,,CRI Dmg 5%,ATK +15,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:17,"Giant's Keep B10",Lost,1:33,1322,0,1,,,,,,,,,,,,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 15:19,"Giant's Keep B10",Win,1:12,3872,0,2,Rune,5*,6800,Energy,46.50,2,Rare,SPD +5,CRI Rate 4%,DEF +14,HP 4%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 16:05,"Giant's Keep B10",Win,1:04,3347,0,0,Rainbowmon 2,,,,,,,,,,,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 16:06,"Giant's Keep B10",Win,1:02,4308,0,1,Rune,5*,5652,Fatal,41.15,1,Rare,ATK +15,,CRI Rate 4%,Accuracy 7%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 16:08,"Giant's Keep B10",Win,1:11,3340,0,1,Rainbowmon 2,,,,,,,,,,,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 16:09,"Giant's Keep B10",Win,1:04,3789,0,2,Rune,5*,9690,Swift,50.59,1,Hero,ATK +15,HP 6%,ATK 7%,HP +230,Resistance 5%,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 16:11,"Giant's Keep B10",Win,1:06,3687,1,0,Rune,6*,19020,Despair,47.62,3,Rare,DEF +22,,SPD +4,CRI Rate 6%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 16:35,"Giant's Keep B10",Win,1:03,3875,0,2,Rune,5*,8075,Swift,43.72,1,Rare,ATK +15,HP +151,Resistance 7%,HP 5%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-15 16:41,"Giant's Keep B10",Win,1:10,4533,0,0,Rune,5*,4080,Energy,44.47,5,Rare,HP +270,,HP 6%,CRI Rate 5%,,,Lushen,Hwa,Taor,Stella,Galleon
2017-05-21 22:05,"Dragon's Lair B9",Lost,1:18,412,0,0,,,,,,,,,,,,,,Ritesh,Galleon,Chasun,Jamire,Belladeon
2017-05-26 11:58,Necropolis B10,Win,2:51,3943,0,1,Rune,5*,12920,Nemesis,42.72,1,Rare,ATK +15,CRI Dmg 3%,CRI Rate 5%,HP 4%,,,Hwa,Belladeon,Shihwa,Colleen,Adrian
2017-05-26 13:40,Unknown,Win,1:01,1273,0,0,Solid Rock x3,,,,,,,,,,,,,Forest Keeper (Wind),Low Elemental (Water),Ghost (Water),,
2017-05-26 13:41,Faimon Volcano Hell - 1,Win,0:23,1069,0,1,Rune,3*,2937,Revenge,20.76,1,Common,ATK +7,,,,,,Forest Keeper (Wind),Low Elemental (Water),Ghost (Water),,
2017-05-26 13:46,Faimon Volcano Hell - 1,Win,0:50,1843,0,1,Rune,4*,6109,Revenge,27.26,1,Common,ATK +10,CRI Dmg 2%,,,,,Forest Keeper (Wind),Low Elemental (Water),Ghost (Water),,
2017-05-26 13:51,Faimon Volcano Hell - 1,Win,0:29,1228,0,2,Rune,4*,5236,Revenge,25.22,1,Common,ATK +10,,,,,,Epikion Priest (Wind),Horned Frog (Fire),Slime (Fire),,
2017-05-26 13:52,Faimon Volcano Hell - 1,Win,0:19,2035,0,1,Rune,4*,5236,Revenge,25.22,1,Common,ATK +10,,,,,,Epikion Priest (Wind),Horned Frog (Fire),Slime (Fire),,
